SMILES,XLogP,MolecularWeight,Complexity,RefLikeness
CCCCCCCCC(CCCCCC)COCCCOCCCOCCCOS(=O)(=O)O,6.4,496.8,485.1,0.03
CCCCCCCCCCOCCOCCOCCOS(=O)(=O)O,3.0,370.5,346.3,0.01
CCCCCCCOCCOCCOCCOS(=O)(=O)O,1.8,328.4,305.6,0.01
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOS(=O)(=O)O,4.2,1588.0,1681.0,0.01
CCCCC(CC)CCCCCCCCCCCCCOS(=O)(=O)O,6.7,378.6,367.9,0.1
CCCC(C)C(CCC)CCOS(=O)(=O)O,3.0,252.4,261.2,0.08
CCCCC(CC)CCCCOS(=O)(=O)O,3.2,252.4,248.7,0.1
CCCCCCCC(CCCCC)CCOS(=O)(=O)O,4.8,308.5,301.0,0.1
CCCCCCCCCCC(CCOS(=O)(=O)O)COS(=O)(=O)O,3.2,390.5,500.9,0.03
CCC(C)CCCCCCCOS(=O)(=O)O,3.2,252.4,248.7,0.1
CCCCCCCCCCC(C)CCOS(=O)(=O)O,4.4,294.5,287.8,0.1
CCC(C)CCCCCCCCCCCCCCCCCOS(=O)(=O)O,7.1,392.6,381.5,0.1
CCCCCCCCCCCC(C)CCOS(=O)(=O)O,4.8,308.5,301.0,0.1
CCCCCCC(C)CCCCCCCCCOS(=O)(=O)O,5.5,336.5,327.6,0.1
CCCCCCCC(C)CCCCOS(=O)(=O)O,4.0,280.4,274.7,0.1
CCCCC(CC)CCCCCCCCCOS(=O)(=O)O,5.1,322.5,314.2,0.1
CCCCCC(C)CCCCCCCOS(=O)(=O)O,4.4,294.5,287.8,0.1
CCCCCCCCOS(=O)(=O)O.O,1.3,228.3,199.8,0.03
CCCCCCCCCCCCCCOS(=O)(=O)O.CCCCCCCCCCCCOS(=O)(=O)O,8.2,560.9,636.3,0.03
CCC(C)CCCCCOS(=O)(=O)O,2.4,224.3,223.0,0.1
CCCCCCCCCCOS(=O)(=O)O,2.9,238.3,223.6,0.08
CCCCC(C)CCCCCCCCOS(=O)(=O)O,4.4,294.5,287.8,0.1
CCC(C)CCCCCCCCCCCOS(=O)(=O)O,4.8,308.5,301.0,0.1
CCCC(C)CCOS(=O)(=O)O,1.6,196.3,197.5,0.1
CCCCCC(C)CCCCCCCCCCOS(=O)(=O)O,5.5,336.5,327.6,0.1
CCCCCCOCCOCCOCCOS(=O)(=O)O,1.4,314.4,292.2,0.01
CCCCCCCCCCC=CCCCCCCCCOS(=O)(=O)O,6.6,376.6,390.5,0.05
CCCCCCCCCCCCOS(=O)(=O)O.CCCCCCCCOS(=O)(=O)O,5.9,476.7,547.2,0.03
CCCCCCCCCCC(CCCCCCCCCCC(CCCCCCCCCC)COS(=O)(=O)O)COS(=O)(=O)O,10.8,671.1,749.1,0.01
CCCCCCCCCCCCCCCCC(COS(=O)(=O)O)OS(=O)(=O)O,4.9,446.6,560.1,0.01
CCCCCCC=CCCOS(=O)(=O)O,2.7,236.3,256.6,0.05
CCCCCC(C)CCCCCCCOS(=O)(=O)O,4.4,294.5,287.8,0.1
CCCCCCCCCCOCCCCOS(=O)(=O)O,3.7,310.5,289.9,0.03
CCCCCC=CC(C)CCOS(=O)(=O)O,3.0,250.4,282.4,0.08
CCCCCC(CCC)COCCOS(=O)(=O)O,2.8,282.4,276.2,0.03
CCCCCC=CCC=CCC=CCC=CCCCCOS(=O)(=O)O,6.0,370.6,501.8,0.05
CCCCCCCCCCCCCCCCOS(=O)(=O)O.CCCCCCCCCCCCCCOS(=O)(=O)O,9.8,617.0,696.5,0.03
C[CH]CCCCCCCCCCOS(=O)(=O)O,3.5,265.4,249.2,0.05
CCCCC=CCCCCCCCCOS(=O)(=O)O,4.3,292.4,309.4,0.03
CCCCCCCCC=CCCOS(=O)(=O)O,3.5,264.4,282.9,0.05
CCCCCCCCC=CCCCCCCOS(=O)(=O)O,5.1,320.5,336.2,0.05
CCC(C)CCOS(=O)(=O)O,1.2,182.2,184.8,0.08
CCCCCCCCCCCCCCCCOP(=O)(OCCCCCCCCCCCCCCCC)OCCCCOS(=O)(=O)O,12.7,699.0,727.1,0.05
CCCCCCC(C)CCCCCCCCCOS(=O)(=O)O,5.5,336.5,327.6,0.1
CCCCCCCC(CCCCC)CCOS(=O)(=O)O,4.8,308.5,301.0,0.1
CCC(C)CCCCCCCCCCCCCOS(=O)(=O)O,5.5,336.5,327.6,0.1
CCC(C)CCCCCCCCCCCCCCCCCCOS(=O)(=O)O,7.5,406.7,395.1,0.1
CCCCCCCCCCCCOS(=O)(=O)O.[U],3.7,504.4,254.8,0.01
CCCCCCOS(=O)(=O)OO,1.3,198.2,186.1,0.03
CCCCCCCCCCCCCCCCCCCCC=CC(CCCCCCCCCCCCCCCCCCC)COS(=O)(=O)O,15.5,699.2,735.1,0.03
CCC(C)CCCCCCCCCC(C)CCOS(=O)(=O)O,5.4,336.5,340.6,0.08
CCCCCCC=CCCCCCCCCOS(=O)(=O)O,5.1,320.5,336.2,0.05
CCCCCCC[CH2-].CCCCCCCCOS(=O)(=O)O.[Na+],2.4,346.5,275.9,0.01
CCCC(C)CCCCCCCOS(=O)(=O)O,3.6,266.4,261.7,0.1
CCCCC(C)CCCCCCCOS(=O)(=O)O,4.0,280.4,274.7,0.1
CCCCCCCC(C)(C)CCCOS(=O)(=O)O,4.0,280.4,296.1,0.03
CCCCCC(CCC)COS(=O)(=O)O,2.8,238.3,235.8,0.05
CCCC(C)C(CCC)CCOS(=O)(=O)O,3.0,252.4,261.2,0.08
CCCCCCCCCCC(C)CCOS(=O)(=O)O,4.4,294.5,287.8,0.1
CCCCCC(C)CCCCCCCCCOS(=O)(=O)O,5.1,322.5,314.2,0.1
CCCCCCCCCCCCOP(=O)(OCCCCCCCCCCCC)OCCCCOS(=O)(=O)O,9.6,586.8,614.8,0.05
CCC(C)CCC(C)CCCCCOS(=O)(=O)O,3.8,280.4,287.4,0.08
CCCCCCCC(CCC)CCOS(=O)(=O)O,4.0,280.4,274.7,0.1
CCCCCCCCCCCCOS(=O)(=O)O.CCCCCCCC(CCCC)OS(=O)(=O)O,7.5,532.8,620.9,0.01
CCCCCCCCCCOS(=O)(=O)O.O,2.1,256.4,225.4,0.03
CCCCCCCSCCCCCCOS(=O)(=O)O,4.1,312.5,278.4,0.03
CCCCCCC(C)CCCCCCCCOS(=O)(=O)O,5.1,322.5,314.2,0.1
CCCCCCCCCCCCOS(=O)(=O)O.O,2.9,284.4,251.2,0.03
CCCCCCCCC(C)CCCCCCOS(=O)(=O)O,5.1,322.5,314.2,0.1
CCCCCCCCCCCCCCOS(=O)(=O)O.CCCCCCCCCCCCCCOS(=O)(=O)O,9.0,588.9,608.3,0.03
CCCCCC(C)CCCCCCCCOS(=O)(=O)O,4.8,308.5,301.0,0.1
CCCCCCCCC(CC)CCOS(=O)(=O)O,4.0,280.4,274.7,0.1
CCCCCCCCC(CC)OCCOS(=O)(=O)O,3.4,296.4,289.4,0.03
CCCCCCCCCCCCC(C)CCOS(=O)(=O)O,5.1,322.5,314.2,0.1
CCCCCC=CCC=CCCCCCCCCOS(=O)(=O)O,5.6,346.5,399.2,0.05
CCCCC(CC)CCOS(=O)(=O)O,2.4,224.3,223.0,0.1
CCCC(CC)CCOS(=O)(=O)O,2.0,210.3,210.2,0.1
CCCCCCCCCCCCC(C)CCCOS(=O)(=O)O,5.5,336.5,327.6,0.1
CCCCCCCCCCCCCCCCCCC=CC(CCOS(=O)(=O)O)COS(=O)(=O)O,6.8,528.8,689.8,0.01
CCC(C)CCCCCCCCCCCCCCOS(=O)(=O)O,5.9,350.6,340.9,0.1
CCCCCCCCC=CCCCCCCCCCCOS(=O)(=O)O,6.6,376.6,390.5,0.05
CCCCCCCCCCCCCCOS(=O)(=O)O.[In],4.1,409.3,280.9,0.01
CCCCCCCCCOS(=O)(=O)O.CCCCCCCCOS(=O)(=O)O,4.7,434.6,503.0,0.03
CCCCCCCC=CCCCCCCCOS(=O)(=O)O,5.1,320.5,336.2,0.05
CCCCCCCCCC(C)CCCOS(=O)(=O)O,4.4,294.5,287.8,0.1
CCCC(CCCOS(=O)(=O)O)OS(=O)(=O)O,0.6,292.3,397.6,0.01
CCCCCCCCCCCCC(COS(=O)(=O)O)OS(=O)(=O)O,3.3,390.5,500.9,0.01
CCC(C)CCCCCCCCCCCCCCCCCOS(=O)(=O)O,7.1,392.6,381.5,0.1
CCCCCCCC(C)CCCCCCCCOS(=O)(=O)O,5.5,336.5,327.6,0.1
CCCCC(C)CCCCCCCCCCCOS(=O)(=O)O,5.5,336.5,327.6,0.1
CCCCCCCCCCCCCCCCC(CCCCCCC)COS(=O)(=O)O,8.7,448.8,436.4,0.05
CCC(CCCC(C)CCCC(C)CCCC(C)C)CCOS(=O)(=O)O,6.7,392.6,419.7,0.05
CCCCCCCCCCCCCCCCC(CCCCCCCC)COS(=O)(=O)O,9.0,462.8,450.3,0.05
CCCCCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCCCCC)COS(=O)(=O)O,15.7,701.2,694.9,0.05
CCCCC(C)CCCC(C)CCCOS(=O)(=O)O,4.2,294.5,300.6,0.08
CCCCCC(C)CCCCCCCCCOS(=O)(=O)O,5.1,322.5,314.2,0.1
CCC(C)CC(C)C(C)CCCCOS(=O)(=O)O,3.7,280.4,300.1,0.08
CCCCC(CC)CCCCCC(CC)CCOS(=O)(=O)O,5.4,336.5,340.6,0.08
CCCCC(C)CCCCCCCCCCCCOS(=O)(=O)O,5.9,350.6,340.9,0.1
CCCCCC(C)CCCCCCOS(=O)(=O)O,4.0,280.4,274.7,0.1
CCCCCC(CCCC)CCOS(=O)(=O)O,3.6,266.4,261.7,0.1
CCCCCCCCCCCCCCCCCCCCOS(=O)(=O)O,6.8,378.6,354.7,0.08
CCCC(C)CCCCCCCCCCCCOS(=O)(=O)O,5.5,336.5,327.6,0.1
CCCCCC=CC(C)CCOS(=O)(=O)O,3.0,250.4,282.4,0.08
CCCCC(CC)CCCOS(=O)(=O)O,2.8,238.3,235.8,0.1
CCCC(C)CCCCCCOS(=O)(=O)O,3.2,252.4,248.7,0.1
CCCCCCCCCCOCCOCCOCCOCCCCOS(=O)(=O)O,3.8,442.6,416.7,0.01
CCCCCCCCOS(=O)(=O)O.CCCCCCCCOS(=O)(=O)O,4.3,420.6,442.4,0.03
CCCCCCCCCCC(CCOS(=O)(=O)O)COS(=O)(=O)O,3.2,390.5,500.9,0.03
CCCCCCCCCCCCOP(=O)(OCCCCCCCCCCCC)OCCCCOS(=O)(=O)O,9.6,586.8,614.8,0.05
CCCCCCC(C)CCCCCCOS(=O)(=O)O,4.4,294.5,287.8,0.1
CCC(C)CCCCCC(CC)CCOS(=O)(=O)O,4.2,294.5,300.6,0.08
CCCCCCCCOCCCOCCCOCCCOCCCOS(=O)(=O)O,3.8,442.6,416.7,0.01
CCCC(C)CCCCCCCCCCCOS(=O)(=O)O,5.1,322.5,314.2,0.1
CCCCCCCCCCCCCCCCCCCCC=CC(CCCCCCCCCCCC)COS(=O)(=O)O,12.7,601.0,631.5,0.03
CCCCCCCCCCCCCCCCC(C)C(CCCOS(=O)(=O)O)OS(=O)(=O)O,6.3,502.7,634.3,0.05
CCCCC(CC)COS(=O)(=O)O,2.0,210.3,210.2,0.05
CCCCCCCCC(CC)CCCCCCCOS(=O)(=O)O,5.9,350.6,340.9,0.1
CCCCCCCCCC(C)CCCCOS(=O)(=O)O,4.8,308.5,301.0,0.1
CCCCC(C)CCCCCCCCCOS(=O)(=O)O,4.8,308.5,301.0,0.1
CCCCCCC(C)CCCCCOS(=O)(=O)O,4.0,280.4,274.7,0.1
CCCCCCCCCCCC(C)CCCOS(=O)(=O)O,5.1,322.5,314.2,0.1
CCCC(C)CCCCCCCOS(=O)(=O)O,3.6,266.4,261.7,0.1
CCCCCCCCOS(=O)(=O)O,2.2,210.3,198.2,0.08
CCCCCCCCCCCCC(C)CCCOS(=O)(=O)O,5.5,336.5,327.6,0.1
CCCCCOS(=O)(=O)O,1.0,168.2,160.5,0.05
CCCCCCCCOS(=O)(=O)O.O,1.3,228.3,199.8,0.03
CCCCCC(C)CCCCCCCCOS(=O)(=O)O,4.8,308.5,301.0,0.1
CCCCCCC(C)CCCCCCCCOS(=O)(=O)O,5.1,322.5,314.2,0.1
CCCCC(C)CCCCCCCCOS(=O)(=O)O,4.4,294.5,287.8,0.1
CCCCCCCCCCC(C)CCCCCOS(=O)(=O)O,5.5,336.5,327.6,0.1
CCCCCCCCCC(CCCCCCCCOS(=O)(=O)O)OS(=O)(=O)O,4.9,446.6,560.1,0.03
CCC(C)CCCCCCCCCCCCCCCCCCCOS(=O)(=O)O,7.9,420.7,408.8,0.1
CCCCCCCCCCCCCC(C)CCOS(=O)(=O)O,5.5,336.5,327.6,0.1
CCCCCCCCCCCCOS(=O)(=O)O.CCCCCCCCCCCOS(=O)(=O)O,7.1,518.8,591.6,0.03
CCCCCCC(C)C(CCCOS(=O)(=O)O)OS(=O)(=O)O,2.4,362.5,485.3,0.05
CCCCCC(CC)CCCCOS(=O)(=O)O,3.6,266.4,261.7,0.1
CCCCCCC(CCCCC)CCOS(=O)(=O)O,4.4,294.5,287.8,0.1
CCCCCCCC(C)CCCOS(=O)(=O)O,3.6,266.4,261.7,0.1
CCCCCCCCCCCCCCCCCCC=CC(CCOS(=O)(=O)O)COS(=O)(=O)O,6.8,528.8,689.8,0.01
CCCCOS(=O)(=O)O,0.6,154.2,148.0,0.0
CCC(C)CCCCCCCCCCOS(=O)(=O)O,4.4,294.5,287.8,0.1
CCCCCCC(C)CCCCCCCCCOS(=O)(=O)O,5.5,336.5,327.6,0.1
CCCCCCCC(CCCCC)CCOS(=O)(=O)O,4.8,308.5,301.0,0.1
CCC(C)CCCCCCCCCCCCCOS(=O)(=O)O,5.5,336.5,327.6,0.1
CCC(C)CCCCCCCCCCCCCCCCCCOS(=O)(=O)O,7.5,406.7,395.1,0.1
CCCCCCCCCCCCOS(=O)(=O)O.[U],3.7,504.4,254.8,0.01
CCCCCCCCCCCCCCCCCCCCC=CC(CCCCCCCCCCCCCCCCCCC)COS(=O)(=O)O,15.5,699.2,735.1,0.03
CCC(C)CCCCCCCCCC(C)CCOS(=O)(=O)O,5.4,336.5,340.6,0.08
CCCCC(C)CCCCCCCOS(=O)(=O)O,4.0,280.4,274.7,0.1
CCCCCCCCCCC(CCCCCCCCCCC(CCCCCCCCCC)COS(=O)(=O)O)COS(=O)(=O)O,10.8,671.1,749.1,0.01
